X1,vcf_name,index,Sequencing project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Latitude,Longitude,Source,Collection date,Comments
data/BK1703222/D-001_S66_sorted.bam,D-001_S66,115,GW BK1703222,D-001_S66_R1_001.fastq.gz,AL2016-1314,402264,D-001_S66,Alaska,Southwest,LakeClark,NA,60.182356,-154.551041,NA,NA,NA
data/BK1703222/D-004_S69_sorted.bam,D-004_S69,116,GW BK1703222,D-004_S69_R1_001.fastq.gz,AL2016-1317,402267,D-004_S69,Alaska,Southwest,LakeClark,NA,60.182356,-154.551041,NA,NA,NA
data/BK1703222/D-005_S70_sorted.bam,D-005_S70,117,GW BK1703222,D-005_S70_R1_001.fastq.gz,AL2016-1318,402268,D-005_S70,Alaska,Southwest,LakeClark,NA,60.182356,-154.551041,NA,NA,NA
data/BK1703222/D-006_S71_sorted.bam,D-006_S71,118,GW BK1703222,D-006_S71_R1_001.fastq.gz,AL2016-1319,402269,D-006_S71,Alaska,Southwest,LakeClark,NA,60.182356,-154.551041,NA,NA,NA
data/BK1703222/D-012_S77_sorted.bam,D-012_S77,119,GW BK1703222,D-012_S77_R1_001.fastq.gz,AL2016-1326,402276,D-012_S77,Alaska,Southwest,LakeClark,NA,60.182356,-154.551041,NA,NA,NA
data/BK1703222/D-015_S80_sorted.bam,D-015_S80,120,GW BK1703222,D-015_S80_R1_001.fastq.gz,AL2016-1329,402249,D-015_S80,Alaska,Southwest,LakeClark,NA,60.182356,-154.551041,NA,NA,NA
data/BK1703222/D-016_S81_sorted.bam,D-016_S81,121,GW BK1703222,D-016_S81_R1_001.fastq.gz,AL2016-1331,402251,D-016_S81,Alaska,Southwest,LakeClark,NA,60.181215,-154.551866,NA,NA,NA
data/BK1703222/D-017_S82_sorted.bam,D-017_S82,122,GW BK1703222,D-017_S82_R1_001.fastq.gz,AL2016-1333,402253,D-017_S82,Alaska,Southwest,LakeClark,NA,60.177998,-154.557445,NA,NA,NA
data/BK1703222/D-018_S83_sorted.bam,D-018_S83,123,GW BK1703222,D-018_S83_R1_001.fastq.gz,AL2016-1335,402255,D-018_S83,Alaska,Southwest,LakeClark,NA,60.177998,-154.557445,NA,NA,NA
data/BK1703222/D-019_S84_sorted.bam,D-019_S84,124,GW BK1703222,D-019_S84_R1_001.fastq.gz,AL2016-1336,402256,D-019_S84,Alaska,Southwest,LakeClark,NA,60.177998,-154.557445,NA,NA,NA
data/BK1703222/D-020_S85_sorted.bam,D-020_S85,125,GW BK1703222,D-020_S85_R1_001.fastq.gz,AL2016-1337,402257,D-020_S85,Alaska,Southwest,LakeClark,NA,60.177998,-154.557445,NA,NA,NA
data/BK1703222/D-021_S86_sorted.bam,D-021_S86,126,GW BK1703222,D-021_S86_R1_001.fastq.gz,AL2016-1338,402258,D-021_S86,Alaska,Southwest,LakeClark,NA,60.177998,-154.557445,NA,NA,NA
data/BK1703222/D-022_S87_sorted.bam,D-022_S87,127,GW BK1703222,D-022_S87_R1_001.fastq.gz,AL2016-1339,402259,D-022_S87,Alaska,Southwest,LakeClark,NA,60.177998,-154.557445,NA,NA,NA
data/BK1703222/D-023_S88_sorted.bam,D-023_S88,128,GW BK1703222,D-023_S88_R1_001.fastq.gz,AL2016-1340,402261,D-023_S88,Alaska,Southwest,LakeClark,NA,60.177998,-154.557445,NA,NA,NA
data/BK1703222/D-024_S89_sorted.bam,D-024_S89,129,GW BK1703222,D-024_S89_R1_001.fastq.gz,AL2016-1341,402262,D-024_S89,Alaska,Southwest,LakeClark,NA,60.177998,-154.557445,NA,NA,NA
data/BK1703222/E-001_S91_sorted.bam,E-001_S91,130,GW BK1703222,E-001_S91_R1_001.fastq.gz,AL2016-1246,380686,E-001_S91,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-003_S93_sorted.bam,E-003_S93,131,GW BK1703222,E-003_S93_R1_001.fastq.gz,AL2016-1251,380691,E-003_S93,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-004_S94_sorted.bam,E-004_S94,132,GW BK1703222,E-004_S94_R1_001.fastq.gz,AL2016-1252,380692,E-004_S94,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-005_S95_sorted.bam,E-005_S95,133,GW BK1703222,E-005_S95_R1_001.fastq.gz,AL2016-1253,380693,E-005_S95,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-006_S96_sorted.bam,E-006_S96,134,GW BK1703222,E-006_S96_R1_001.fastq.gz,AL2016-1254,380694,E-006_S96,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-008_S98_sorted.bam,E-008_S98,135,GW BK1703222,E-008_S98_R1_001.fastq.gz,AL2016-1256,380696,E-008_S98,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-009_S99_sorted.bam,E-009_S99,136,GW BK1703222,E-009_S99_R1_001.fastq.gz,AL2016-1257,380697,E-009_S99,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-010_S100_sorted.bam,E-010_S100,137,GW BK1703222,E-010_S100_R1_001.fastq.gz,AL2016-1259,380699,E-010_S100,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-012_S102_sorted.bam,E-012_S102,138,GW BK1703222,E-012_S102_R1_001.fastq.gz,AL2016-1261,380701,E-012_S102,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-013_S103_sorted.bam,E-013_S103,139,GW BK1703222,E-013_S103_R1_001.fastq.gz,AL2016-1262,380702,E-013_S103,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-014_S104_sorted.bam,E-014_S104,140,GW BK1703222,E-014_S104_R1_001.fastq.gz,AL2016-1263,380703,E-014_S104,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-015_S105_sorted.bam,E-015_S105,141,GW BK1703222,E-015_S105_R1_001.fastq.gz,AL2016-1264,380704,E-015_S105,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-017_S107_sorted.bam,E-017_S107,142,GW BK1703222,E-017_S107_R1_001.fastq.gz,AL2016-1266,380706,E-017_S107,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-018_S108_sorted.bam,E-018_S108,143,GW BK1703222,E-018_S108_R1_001.fastq.gz,AL2016-1267,380707,E-018_S108,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-019_S109_sorted.bam,E-019_S109,144,GW BK1703222,E-019_S109_R1_001.fastq.gz,AL2016-1268,380708,E-019_S109,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-020_S110_sorted.bam,E-020_S110,145,GW BK1703222,E-020_S110_R1_001.fastq.gz,AL2016-1269,380709,E-020_S110,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-021_S111_sorted.bam,E-021_S111,146,GW BK1703222,E-021_S111_R1_001.fastq.gz,AL2016-1270,380710,E-021_S111,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-022_S112_sorted.bam,E-022_S112,147,GW BK1703222,E-022_S112_R1_001.fastq.gz,AL2016-1271,380711,E-022_S112,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/E-024_S114_sorted.bam,E-024_S114,148,GW BK1703222,E-024_S114_R1_001.fastq.gz,AL2016-1273,380713,E-024_S114,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
data/BK1703222/F-003_S118_sorted.bam,F-003_S118,149,GW BK1703222,F-003_S118_R1_001.fastq.gz,AL2015-543,401257,F-003_S118,Alaska,Interior,Fairbanks,NA,64.855184,-146.820805,NA,NA,NA
data/AN1711171/W-001_sorted.bam,W-001,150,GW AN1711171,W-001_R1_001.fastq.gz,156525,156525,W-001,Alaska,Northwest,Selawik,NA,NA,NA,NA,NA,NA
data/AN1711171/J-022_sorted.bam,J-022,151,GW AN1711171,J-022_R1_001.fastq.gz,400012,400012,J-022,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/F-021_sorted.bam,F-021,152,GW AN1711171,F-021_R1_001.fastq.gz,401247,401247,F-021,Alaska,Interior,Fairbanks,NA,64.843409,-147.808841,NA,NA,NA
data/AN1711171/Q-014_sorted.bam,Q-014,153,GW AN1711171,Q-014_R1_001.fastq.gz,402160,402160,Q-014,Alaska,Interior,MintoFlats,NA,NA,NA,NA,NA,NA
data/AN1711171/Q-016_sorted.bam,Q-016,154,GW AN1711171,Q-016_R1_001.fastq.gz,402162,402162,Q-016,Alaska,Interior,MintoFlats,NA,NA,NA,NA,NA,NA
data/AN1711171/U-003_sorted.bam,U-003,155,GW AN1711171,U-003_R1_001.fastq.gz,404175,404175,U-003,Alaska,North,NorthSlope,NA,NA,NA,NA,NA,NA
data/BK1703222/F-016_S131_sorted.bam,F-016_S131,156,GW BK1703222,F-016_S131_R1_001.fastq.gz,AL2015-521,401235,F-016_S131,Alaska,Interior,Fairbanks,NA,64.843409,-147.808841,NA,NA,NA
data/BK1703222/F-006_S121_sorted.bam,F-006_S121,157,GW BK1703222,F-006_S121_R1_001.fastq.gz,AL2015-522,401236,F-006_S121,Alaska,Interior,Fairbanks,NA,64.849445,-147.402877,NA,NA,NA
data/BK1703222/F-007_S122_sorted.bam,F-007_S122,158,GW BK1703222,F-007_S122_R1_001.fastq.gz,AL2015-523,401237,F-007_S122,Alaska,Interior,Fairbanks,NA,64.849445,-147.402877,NA,NA,NA
data/BK1703222/F-008_S123_sorted.bam,F-008_S123,159,GW BK1703222,F-008_S123_R1_001.fastq.gz,AL2015-524,401238,F-008_S123,Alaska,Interior,Fairbanks,NA,64.849445,-147.402877,NA,NA,NA
data/BK1703222/F-009_S124_sorted.bam,F-009_S124,160,GW BK1703222,F-009_S124_R1_001.fastq.gz,AL2015-525,401239,F-009_S124,Alaska,Interior,Fairbanks,NA,64.849445,-147.402877,NA,NA,NA
data/BK1703222/F-010_S125_sorted.bam,F-010_S125,161,GW BK1703222,F-010_S125_R1_001.fastq.gz,AL2015-526,401240,F-010_S125,Alaska,Interior,Fairbanks,NA,64.849445,-147.402877,NA,NA,NA
