GW,Project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Latitude,Longitude,Source,Collection date,Comments,String,Coverage
GW,AN1711171,J-042_R1_001.fastq.gz,400094,400094,J-042,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-042_sorted.bam,1.37676
GW,AN1711171,J-043_R1_001.fastq.gz,400095,400095,J-043,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-043_sorted.bam,1.45081
GW,AN1711171,J-044_R1_001.fastq.gz,400097,400097,J-044,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-044_sorted.bam,1.46377
GW,AN1711171,J-046_R1_001.fastq.gz,400101,400101,J-046,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-046_sorted.bam,1.28858
GW,AN1711171,J-047_R1_001.fastq.gz,400102,400102,J-047,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-047_sorted.bam,1.12366
GW,AN1711171,J-049_R1_001.fastq.gz,400093,400093,J-049,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-049_sorted.bam,1.22662
GW,AN1711171,O-001_R1_001.fastq.gz,163,163,O-001,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-001_sorted.bam,1.40261
GW,AN1711171,O-002_R1_001.fastq.gz,164,164,O-002,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-002_sorted.bam,1.42846
GW,AN1711171,O-003_R1_001.fastq.gz,165,165,O-003,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-003_sorted.bam,1.15967
GW,AN1711171,O-004_R1_001.fastq.gz,166,166,O-004,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-004_sorted.bam,1.09837
GW,AN1711171,O-005_R1_001.fastq.gz,167,167,O-005,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-005_sorted.bam,1.25702
GW,AN1711171,O-006_R1_001.fastq.gz,168,168,O-006,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-006_sorted.bam,1.38134
GW,AN1711171,O-008_R1_001.fastq.gz,180,180,O-008,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-008_sorted.bam,1.13315
GW,AN1711171,O-009_R1_001.fastq.gz,181,181,O-009,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA,data/AN1711171/O-009_sorted.bam,1.40415
