Sequencing project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Coordinates (if available),Source,Collection date,Comments
GW BK1703222,I-007_S182_R1_001.fastq.gz,AL2016-1112,402915,I-007_S182,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-008_S183_R1_001.fastq.gz,AL2016-1116,402919,I-008_S183,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-009_S184_R1_001.fastq.gz,AL2016-1119,402922,I-009_S184,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-010_S185_R1_001.fastq.gz,AL2016-1120,402923,I-010_S185,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-011_S186_R1_001.fastq.gz,AL2016-1121,402924,I-011_S186,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-012_S187_R1_001.fastq.gz,AL2016-1123,402926,I-012_S187,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-013_S188_R1_001.fastq.gz,AL2016-1124,402927,I-013_S188,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-014_S189_R1_001.fastq.gz,AL2016-1126,402929,I-014_S189,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-015_S190_R1_001.fastq.gz,AL2016-1127,402930,I-015_S190,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW BK1703222,I-016_S191_R1_001.fastq.gz,AL2016-1190,404050,I-016_S191,Alaska,Southcentral,TinyLake,,"60.519884, -150.992988",,,
GW BK1703222,I-017_S192_R1_001.fastq.gz,AL2016-1191,404051,I-017_S192,Alaska,Southcentral,TinyLake,,"60.519884, -150.992988",,,
GW BK1703222,I-018_S193_R1_001.fastq.gz,AL2016-1192,404052,I-018_S193,Alaska,Southcentral,TinyLake,,"60.519884, -150.992988",,,
GW BK1703222,I-019_S194_R1_001.fastq.gz,AL2016-1193,404053,I-019_S194,Alaska,Southcentral,TinyLake,,"60.519884, -150.992988",,,
GW BK1703222,I-020_S195_R1_001.fastq.gz,AL2016-1194,404054,I-020_S195,Alaska,Southcentral,TinyLake,,"60.519884, -150.992988",,,
GW BK1703222,I-021_S196_R1_001.fastq.gz,AL2016-1195,404055,I-021_S196,Alaska,Southcentral,TinyLake,,"60.519884, -150.992988",,,
GW BK1703222,I-022_S197_R1_001.fastq.gz,AL2016-1196,404056,I-022_S197,Alaska,Southcentral,TinyLake,,"60.519884, -150.992988",,,
GW BK1703222,I-023_S198_R1_001.fastq.gz,AL2016-1197,404057,I-023_S198,Alaska,Southcentral,TinyLake,,"60.519884, -150.992988",,,
GW BK1703222,I-024_S199_R1_001.fastq.gz,AL2016-1198,404058,I-024_S199,Alaska,Southcentral,TinyLake,,"60.519884, -150.992988",,,
GW BK1703222,I-025_S200_R1_001.fastq.gz,AL2016-1199,404059,I-025_S200,Alaska,Southcentral,TinyLake,,"60.519884, -150.992988",,,
RTL 6997240,4820-plate1-A01-AL2015-512-MiSeqNEBUltra_S211_L003_R1_001.fastq.gz,AL2015-512,400048,J_001,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-A02-AL2016-963-MiSeqNEBUltra_S219_L003_R1_001.fastq.gz,AL2016-963,400037,J_009,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-A03-AL2016-985-MiSeqNEBUltra_S227_L003_R1_001.fastq.gz,AL2016-985,400059,J_017,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-B01-AL2015-513-MiSeqNEBUltra_S212_L003_R1_001.fastq.gz,AL2015-513,400049,J_002,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-B02-AL2016-968-MiSeqNEBUltra_S220_L003_R1_001.fastq.gz,AL2016-968,400042,J_010,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-B03-AL2016-997-MiSeqNEBUltra_S228_L003_R1_001.fastq.gz,AL2016-997,400071,J_018,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-C01-AL2015-520-MiSeqNEBUltra_S213_L003_R1_001.fastq.gz,AL2015-520,400056,J_003,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-C02-AL2016-970-MiSeqNEBUltra_S221_L003_R1_001.fastq.gz,AL2016-970,400044,J_011,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-C03-AL2016-998-MiSeqNEBUltra_S229_L003_R1_001.fastq.gz,AL2016-998,400072,J_019,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-D01-AL2016-957-MiSeqNEBUltra_S214_L003_R1_001.fastq.gz,AL2016-957,400031,J_004,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-D02-AL2016-974-MiSeqNEBUltra_S222_L003_R1_001.fastq.gz,AL2016-974,400048,J_012,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-D03-AL2016-1003-MiSeqNEBUltra_S230_L003_R1_001.fastq.gz,AL2016-1003,400077,J_020,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-E01-AL2016-958-MiSeqNEBUltra_S215_L003_R1_001.fastq.gz,AL2016-958,400032,J_005,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-E02-AL2016-977-MiSeqNEBUltra_S223_L003_R1_001.fastq.gz,AL2016-977,400051,J_013,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-F01-AL2016-959-MiSeqNEBUltra_S216_L003_R1_001.fastq.gz,AL2016-959,400033,J_006,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-F02-AL2016-981-MiSeqNEBUltra_S224_L003_R1_001.fastq.gz,AL2016-981,400055,J_014,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-G01-AL2016-960-MiSeqNEBUltra_S217_L003_R1_001.fastq.gz,AL2016-960,400034,J_007,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-G02-AL2016-983-MiSeqNEBUltra_S225_L003_R1_001.fastq.gz,AL2016-983,400057,J_015,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-H01-AL2016-961-MiSeqNEBUltra_S218_L003_R1_001.fastq.gz,AL2016-961,400035,J_008,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate1-H02-AL2016-984-MiSeqNEBUltra_S226_L003_R1_001.fastq.gz,AL2016-984,400058,J_016,Alaska,Southeast,AntlinRiver,,"59.492422, -139.156677",,,
RTL 6997240,4820-plate2-A01-AL2016-819-MiSeqNEBUltra_S231_L003_R1_001.fastq.gz,AL2016-819,401878,K_001,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-A02-AL2016-827-MiSeqNEBUltra_S239_L003_R1_001.fastq.gz,AL2016-827,401886,K_009,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-A03-AL2016-837-MiSeqNEBUltra_S247_L003_R1_001.fastq.gz,AL2016-837,401896,K_017,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-B01-AL2016-820-MiSeqNEBUltra_S232_L003_R1_001.fastq.gz,AL2016-820,401879,K_002,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-B02-AL2016-828-MiSeqNEBUltra_S240_L003_R1_001.fastq.gz,AL2016-828,401887,K_010,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-B03-AL2016-838-MiSeqNEBUltra_S248_L003_R1_001.fastq.gz,AL2016-838,401897,K_018,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-C01-AL2016-821-MiSeqNEBUltra_S233_L003_R1_001.fastq.gz,AL2016-821,401880,K_003,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-C02-AL2016-830-MiSeqNEBUltra_S241_L003_R1_001.fastq.gz,AL2016-830,401889,K_011,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-C03-AL2016-840-MiSeqNEBUltra_S249_L003_R1_001.fastq.gz,AL2016-840,401899,K_019,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-D01-AL2016-822-MiSeqNEBUltra_S234_L003_R1_001.fastq.gz,AL2016-822,401881,K_004,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-D02-AL2016-831-MiSeqNEBUltra_S242_L003_R1_001.fastq.gz,AL2016-831,401890,K_012,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-D03-AL2016-841-MiSeqNEBUltra_S250_L003_R1_001.fastq.gz,AL2016-841,401900,K_020,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-E01-AL2016-823-MiSeqNEBUltra_S235_L003_R1_001.fastq.gz,AL2016-823,401882,K_005,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-E02-AL2016-832-MiSeqNEBUltra_S243_L003_R1_001.fastq.gz,AL2016-832,401891,K_013,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-F01-AL2016-824-MiSeqNEBUltra_S236_L003_R1_001.fastq.gz,AL2016-824,401883,K_006,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-F02-AL2016-833-MiSeqNEBUltra_S244_L003_R1_001.fastq.gz,AL2016-833,401892,K_014,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-G01-AL2016-825-MiSeqNEBUltra_S237_L003_R1_001.fastq.gz,AL2016-825,401884,K_007,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-G02-AL2016-834-MiSeqNEBUltra_S245_L003_R1_001.fastq.gz,AL2016-834,401893,K_015,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-H01-AL2016-826-MiSeqNEBUltra_S238_L003_R1_001.fastq.gz,AL2016-826,401885,K_008,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate2-H02-AL2016-836-MiSeqNEBUltra_S246_L003_R1_001.fastq.gz,AL2016-836,401895,K_016,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,
RTL 6997240,4820-plate3-A01-AL2015-521-MiSeqNEBUltra_S251_L003_R1_001.fastq.gz,AL2015-521,401235,L_001,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
RTL 6997240,4820-plate3-A02-AL2015-530-MiSeqNEBUltra_S259_L003_R1_001.fastq.gz,AL2015-530,401244,L_009,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
RTL 6997240,4820-plate3-A03-AL2015-540-MiSeqNEBUltra_S267_L003_R1_001.fastq.gz,AL2015-540,401254,L_017,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
RTL 6997240,4820-plate3-B01-AL2015-522-MiSeqNEBUltra_S252_L003_R1_001.fastq.gz,AL2015-522,401236,L_002,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
RTL 6997240,4820-plate3-B02-AL2015-531-MiSeqNEBUltra_S260_L003_R1_001.fastq.gz,AL2015-531,401245,L_010,Alaska,Interior,Fairbanks,,"64.803083, -147.216906",,,
RTL 6997240,4820-plate3-B03-AL2015-541-MiSeqNEBUltra_S268_L003_R1_001.fastq.gz,AL2015-541,401255,L_018,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
RTL 6997240,4820-plate3-C01-AL2015-523-MiSeqNEBUltra_S253_L003_R1_001.fastq.gz,AL2015-523,401237,L_003,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
RTL 6997240,4820-plate3-C02-AL2015-532-MiSeqNEBUltra_S261_L003_R1_001.fastq.gz,AL2015-532,401246,L_011,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
RTL 6997240,4820-plate3-C03-AL2015-542-MiSeqNEBUltra_S269_L003_R1_001.fastq.gz,AL2015-542,401256,L_019,Alaska,Interior,Fairbanks,,"64.855184, -146.820805",,,
RTL 6997240,4820-plate3-D01-AL2015-524-MiSeqNEBUltra_S254_L003_R1_001.fastq.gz,AL2015-524,401238,L_004,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
RTL 6997240,4820-plate3-D02-AL2015-533-MiSeqNEBUltra_S262_L003_R1_001.fastq.gz,AL2015-533,401247,L_012,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
RTL 6997240,4820-plate3-D03-AL2015-544-MiSeqNEBUltra_S270_L003_R1_001.fastq.gz,AL2015-544,401258,L_020,Alaska,Interior,Fairbanks,,"64.855184, -146.820805",,,
RTL 6997240,4820-plate3-E01-AL2015-525-MiSeqNEBUltra_S255_L003_R1_001.fastq.gz,AL2015-525,401239,L_005,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
RTL 6997240,4820-plate3-E02-AL2015-534-MiSeqNEBUltra_S263_L003_R1_001.fastq.gz,AL2015-534,401248,L_013,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
RTL 6997240,4820-plate3-F01-AL2015-526-MiSeqNEBUltra_S256_L003_R1_001.fastq.gz,AL2015-526,401240,L_006,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
RTL 6997240,4820-plate3-F02-AL2015-535-MiSeqNEBUltra_S264_L003_R1_001.fastq.gz,AL2015-535,401249,L_014,Alaska,Interior,Fairbanks,,"64.849445, -147.850537",,,
RTL 6997240,4820-plate3-G01-AL2015-527-MiSeqNEBUltra_S257_L003_R1_001.fastq.gz,AL2015-527,401241,L_007,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
RTL 6997240,4820-plate3-G02-AL2015-536-MiSeqNEBUltra_S265_L003_R1_001.fastq.gz,AL2015-536,401250,L_015,Alaska,Interior,Fairbanks,,"64.803083, -147.216906",,,
RTL 6997240,4820-plate3-H01-AL2015-529-MiSeqNEBUltra_S258_L003_R1_001.fastq.gz,AL2015-529,401243,L_008,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
RTL 6997240,4820-plate3-H02-AL2015-537-MiSeqNEBUltra_S266_L003_R1_001.fastq.gz,AL2015-537,401251,L_016,Alaska,Interior,Fairbanks,,"64.849445, -147.402877",,,
RTL 6997240,4820-plate4-A01-AL2016-842-MiSeqNEBUltra_S271_L003_R1_001.fastq.gz,AL2016-842,374430,M_001,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-A02-AL2016-851-MiSeqNEBUltra_S279_L003_R1_001.fastq.gz,AL2016-851,374439,M_009,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-A03-AL2016-860-MiSeqNEBUltra_S287_L003_R1_001.fastq.gz,AL2016-860,374448,M_017,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-B01-AL2016-844-MiSeqNEBUltra_S272_L003_R1_001.fastq.gz,AL2016-844,374432,M_002,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-B02-AL2016-852-MiSeqNEBUltra_S280_L003_R1_001.fastq.gz,AL2016-852,374440,M_010,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-B03-AL2016-861-MiSeqNEBUltra_S288_L003_R1_001.fastq.gz,AL2016-861,374449,M_018,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-C01-AL2016-845-MiSeqNEBUltra_S273_L003_R1_001.fastq.gz,AL2016-845,374433,M_003,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-C02-AL2016-853-MiSeqNEBUltra_S281_L003_R1_001.fastq.gz,AL2016-853,374441,M_011,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-C03-AL2016-862-MiSeqNEBUltra_S289_L003_R1_001.fastq.gz,AL2016-862,374450,M_019,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-D01-AL2016-846-MiSeqNEBUltra_S274_L003_R1_001.fastq.gz,AL2016-846,374434,M_004,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-D02-AL2016-854-MiSeqNEBUltra_S282_L003_R1_001.fastq.gz,AL2016-854,374442,M_012,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-D03-AL2016-865-MiSeqNEBUltra_S290_L003_R1_001.fastq.gz,AL2016-865,374453,M_020,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-E01-AL2016-847-MiSeqNEBUltra_S275_L003_R1_001.fastq.gz,AL2016-847,374435,M_005,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-E02-AL2016-855-MiSeqNEBUltra_S283_L003_R1_001.fastq.gz,AL2016-855,374443,M_013,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-F01-AL2016-848-MiSeqNEBUltra_S276_L003_R1_001.fastq.gz,AL2016-848,374436,M_006,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-F02-AL2016-857-MiSeqNEBUltra_S284_L003_R1_001.fastq.gz,AL2016-857,374445,M_014,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-G01-AL2016-849-MiSeqNEBUltra_S277_L003_R1_001.fastq.gz,AL2016-849,374437,M_007,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-G02-AL2016-858-MiSeqNEBUltra_S285_L003_R1_001.fastq.gz,AL2016-858,374446,M_015,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-H01-AL2016-850-MiSeqNEBUltra_S278_L003_R1_001.fastq.gz,AL2016-850,374438,M_008,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate4-H02-AL2016-859-MiSeqNEBUltra_S286_L003_R1_001.fastq.gz,AL2016-859,374447,M_016,Alaska,Southcentral,OtterLake,,"61.29013, -149.74095",,,
RTL 6997240,4820-plate5-A01-AL2015-550-MiSeqNEBUltra_S291_L003_R1_001.fastq.gz,AL2015-550,373998,N_001,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-A02-AL2015-583-MiSeqNEBUltra_S299_L003_R1_001.fastq.gz,AL2015-583,374011,N_009,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-A03-AL2016-1033-MiSeqNEBUltra_S307_L003_R1_001.fastq.gz,AL2016-1033,374006,N_017,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-B01-AL2015-555-MiSeqNEBUltra_S292_L003_R1_001.fastq.gz,AL2015-555,374003,N_002,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-B02-AL2015-586-MiSeqNEBUltra_S300_L003_R1_001.fastq.gz,AL2015-586,374014,N_010,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-B03-AL2016-1039-MiSeqNEBUltra_S308_L003_R1_001.fastq.gz,AL2016-1039,374015,N_018,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-C01-AL2015-576-MiSeqNEBUltra_S293_L003_R1_001.fastq.gz,AL2015-576,374004,N_003,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-C02-AL2016-1026-MiSeqNEBUltra_S301_L003_R1_001.fastq.gz,AL2016-1026,373995,N_011,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-C03-AL2016-1040-MiSeqNEBUltra_S309_L003_R1_001.fastq.gz,AL2016-1040,374016,N_019,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-D01-AL2015-577-MiSeqNEBUltra_S294_L003_R1_001.fastq.gz,AL2015-577,374005,N_004,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-D02-AL2016-1027-MiSeqNEBUltra_S302_L003_R1_001.fastq.gz,AL2016-1027,373996,N_012,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-D03-AL2016-1044-MiSeqNEBUltra_S310_L003_R1_001.fastq.gz,AL2016-1044,374020,N_020,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-E01-AL2015-578-MiSeqNEBUltra_S295_L003_R1_001.fastq.gz,AL2015-578,374006,N_005,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-E02-AL2016-1028-MiSeqNEBUltra_S303_L003_R1_001.fastq.gz,AL2016-1028,373998,N_013,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-F01-AL2015-580-MiSeqNEBUltra_S296_L003_R1_001.fastq.gz,AL2015-580,374008,N_006,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-F02-AL2016-1029-MiSeqNEBUltra_S304_L003_R1_001.fastq.gz,AL2016-1029,373999,N_014,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-G01-AL2015-581-MiSeqNEBUltra_S297_L003_R1_001.fastq.gz,AL2015-581,374009,N_007,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-G02-AL2016-1030-MiSeqNEBUltra_S305_L003_R1_001.fastq.gz,AL2016-1030,374001,N_015,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-H01-AL2015-582-MiSeqNEBUltra_S298_L003_R1_001.fastq.gz,AL2015-582,374010,N_008,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
RTL 6997240,4820-plate5-H02-AL2016-1031-MiSeqNEBUltra_S306_L003_R1_001.fastq.gz,AL2016-1031,374004,N_016,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,
