Sequencing project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Coordinates (if available),Source,Collection date,Comments
GW AN1711171,O-020_R1_001.fastq.gz,402187,402187,O-020,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-021_R1_001.fastq.gz,402189,402189,O-021,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-022_R1_001.fastq.gz,402190,402190,O-022,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-023_R1_001.fastq.gz,402191,402191,O-023,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-024_R1_001.fastq.gz,402194,402194,O-024,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-025_R1_001.fastq.gz,402196,402196,O-025,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-025_R1_001.fastq.gz_topoff,402196,402196,O-025,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,P-001_R1_001.fastq.gz,204,204,P-001,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-002_R1_001.fastq.gz,205,205,P-002,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-003_R1_001.fastq.gz,206,206,P-003,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-004_R1_001.fastq.gz,207,207,P-004,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-005_R1_001.fastq.gz,208,208,P-005,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-006_R1_001.fastq.gz,209,209,P-006,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-007_R1_001.fastq.gz,210,210,P-007,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,Q-001_R1_001.fastq.gz,402147,402147,Q-001,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-002_R1_001.fastq.gz,402148,402148,Q-002,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-003_R1_001.fastq.gz,402149,402149,Q-003,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-004_R1_001.fastq.gz,402150,402150,Q-004,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-005_R1_001.fastq.gz,402151,402151,Q-005,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-006_R1_001.fastq.gz,402152,402152,Q-006,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-007_R1_001.fastq.gz,402153,402153,Q-007,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-008_R1_001.fastq.gz,402154,402154,Q-008,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-009_R1_001.fastq.gz,402155,402155,Q-009,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-010_R1_001.fastq.gz,402156,402156,Q-010,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-011_R1_001.fastq.gz,402157,402157,Q-011,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-012_R1_001.fastq.gz,402158,402158,Q-012,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-013_R1_001.fastq.gz,402159,402159,Q-013,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-014_R1_001.fastq.gz,402160,402160,Q-014,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-014_R1_001.fastq.gz_topoff,402160,402160,Q-014,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-015_R1_001.fastq.gz,402161,402161,Q-015,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-016_R1_001.fastq.gz,402162,402162,Q-016,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-016_R1_001.fastq.gz_topoff,402162,402162,Q-016,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-017_R1_001.fastq.gz,402163,402163,Q-017,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-018_R1_001.fastq.gz,402164,402164,Q-018,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-019_R1_001.fastq.gz,402165,402165,Q-019,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-020_R1_001.fastq.gz,402166,402166,Q-020,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-021_R1_001.fastq.gz,402167,402167,Q-021,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-022_R1_001.fastq.gz,402168,402168,Q-022,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-023_R1_001.fastq.gz,402169,402169,Q-023,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-024_R1_001.fastq.gz,402170,402170,Q-024,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,Q-025_R1_001.fastq.gz,402171,402171,Q-025,Alaska,Interior,MintoFlats,,,,,
GW AN1711171,R-001_R1_001.fastq.gz,1,1,R-001,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-002_R1_001.fastq.gz,2,2,R-002,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-003_R1_001.fastq.gz,3,3,R-003,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-004_R1_001.fastq.gz,4,4,R-004,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-005_R1_001.fastq.gz,5,5,R-005,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-006_R1_001.fastq.gz,6,6,R-006,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-007_R1_001.fastq.gz,7,7,R-007,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-008_R1_001.fastq.gz,10,10,R-008,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-009_R1_001.fastq.gz,13,13,R-009,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-010_R1_001.fastq.gz,16,16,R-010,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
